App,projectID
Sportsbook Italy iOS,490147
Vegas Evo - iPad and iPhone ,602879
Sportsbook Spain iOS,511752
Casino Club iOS,237749
Casino iOS,278587
Live Casino iOS,318058
EuroGrand iOS,321316
Casino Italy iOS,528909
Vegas iOS ,398664
Sportsbook Italy Android,524137
Casino Spain iOS,532543
Bingo Android,587730
Vegas Android,465874
Casino Club Android,264726
Casino Android,287032
Sportsbook Spain Android,534666
Bingo Wrapper Android,583948
Live Odds Tile,305339
Sportsbook iOS,596481
William Hill Live Odds Widget,278577
